text,sentiment,negative_reason
b'#JoeBiden calls #Trump supporters #Ugly! SHAME ON HIM! The other day it was #Chumps OMG #SilentMajorityRising. https://t.co/wDLUW85ZVr',0,corruption
b'A giant FUCK YOU!!! to #Covid for destroying a decades old neighborhood tradition. First snow of the year party https://t.co/TkoSrT5cib',0,corruption
b'@realDonaldTrump I will be so glad to never have to listen to your sorry ass voice again!!! #BidenHarris2020',0,covid19
"b'RT @IWashington: Vote Like Your Lives Depends On It, Because It Does. #MAGA https://t.co/ln8tUb2OOl'",1,
"b""RT @MelissaTweets: I didn't think all the freak out was about control in the beginning of #Covid.\n\nNow, it's clear that's ALL it's",0,covid19
b'The National Tax-Limitation Committee on how much the average family of four has saved on an annual basis from https://t.co/H9OlxtBvWr',1,
"b""@Mediaite @MSNBC What's wrong with @chucktodd? He has to go! #Resist""",0,covid19
b'I honestly cannot deal with a second national lockdown. I realise that important but the last one really https://t.co/SEyOGoQvpf',1,
b'@JoeBiden JOE BIDEN IS TOTALLY AND COMPLETELY COMPROMISED BY CHINA.\n\nJoe Biden is a corrupt politician. He wants https://t.co/wuUCpVzOo6',1,
b'.@AriMelber @MMFlint @MichaelSteele no way that you are correct that the 15 million young people who can https://t.co/rquyAxWSKC',1,
"b'For all the problems #COVID has created, and amplified, it has also caused some companies to make new investments https://t.co/Af2Np2NCpu'",0,discrimination
"b'@brikeilarcnn @socalmom The Truth is that the #COVID19 deaths, the children separated from parents, dead &amp; https://t.co/sU8PuJsvDa'",0,corruption
b'I love that frontier gibberish that #JoeBiden speaks. https://t.co/6cyy6ZJgVa',1,
"b'RT @PeeJayAitch: Parent at #Chilliwack school that has a positive #COVID case: onus is on me. Follow 811, which says [her child]",1,
b'@realDonaldTrump campaign manager is a felon.\nHis deputy campaign mgr is a felon.\nHis national sec https://t.co/xkz9IjzkG0',1,
b'RT @rahansen1: This makes me happy! #BlueWave https://t.co/2RYEmfa15I',1,
"b'The best part of the Georgia #GOP Evil vs Evil brawl is ""the infighting has potentially cleared a path for a https://t.co/YWWrRLcR2t'",0,covid19
"b'The headline is always about the number of cases, but not the number of confirmed cases...can we change that? #COVID'",1,
b'MAGA? They love African American Black People. #blacklivesmatter #biden2020 #vote @joebiden https://t.co/HhT1Yc2KnN',1,
"b'Today, #MauryCounty recorded its record # of new #COVID cases in 24 hrs: 172. \n\nOnly Nashville &amp; Memphis had https://t.co/2lDKWSlvJb'",1,
"b'@weeser1 I ask, how did Trumps kids get those positions in our WhiteHouse especially when they get https://t.co/tj9bVrJRxB'",1,
"b""RT @kelliekelly23: CNN Refuses To Air Anti-Biden Ad - Even Though It's Accurate \nWe are living in a new world where media and big tech",1,
"b'Share, we need to change this!\n#CHANGES \n#WomensMarch2020 \n#BidenHarris2020 https://t.co/8S90buAjxY'",1,
"b'Oh sh*t, the live feed went screwy and now the audio is *terrible*. This #Trump rally really is a Noises Off production!'",0,covid19
"b""It's sad that #JoeBiden can't make a speech without lying and attacking our President without facts.\n\nThis man https://t.co/3nvFwZcH4K""",0,covid19
"b'#Election2020 No matter who wins, the apposing team is going to have a meltdown, and https://t.co/NC9Kk9hheX'",1,
b'@Zac_Petkanas Vote out this violent trash!\n#BidenHarris2020',0,corruption
"b""@nypost Thank the #DNC&amp; #MaintreamMedia for the #PeacefulProtest (s). Don't forget to thank #JoeBiden https://t.co/xQ7d9vlKXk""",0,others
"b""@CollinEyeJoe @angry__saint That's funny but photoshopped. \n\nStill, Arrested Development does describe the https://t.co/lzSolYETo1""",0,discrimination
b'@co_rapunzel4 We get them groomed about every 5wks. We went 2 months in the height of dealing with #Covid mandates. https://t.co/PNNFAixOhr',1,
b'RT @peacelovinMimi: Damnit these Biden TV ads .... this one with Obama talking ... make me cry #BidenHarris2020',0,crime
"b'If you to help in these last few days to #KeepAmericaGreat, please DM now to join the Lancaster #Trump Campaign.\n\n#MAGA #KAG #LeadRight'",1,
b'Health officials announce 272 new #coronavirus cases in BC https://t.co/YPeSIKtANo #COVID19BC https://t.co/AMjKmQy3Ac',1,
b'RT @PLinIrlandia: #BreakingNews clashes between Spanish police &amp; anti #Coronavirus #Lockdown2 protesters in #Barcelona tonight,0,corruption
"b""@UptonForAllOfUs going to lose your job #VOTEBLUE #BLUEWAVE #Vote2020 https://t.co/LldgER1DvI""",0,corruption
b'@lushcosmetics Hands down the best establishment come across in regards to Covid prevention. Staff at the https://t.co/dl0mr2a5Ix',1,
b'@kirstiealley Guess anyone that watched any thing you were ever in got all of that wrong!! Why is it that https://t.co/am6CsKYN3b',0,covid19
"b'Darn! 2 new fake followersI blocked both. If real, this is me: #AdoptDontShop https://t.co/NZXgUb7fiD'",0,discrimination
"b""#COVID19 #coronavirus #coronavirusuk #COVID #UKlockdown \n Boris Johnson 'plans full Covid lockdown for England until December'""",1,
b'RT @TomFitton: The most significant voter suppression effort in decades has been the Leftist propaganda to use #coronavirus to scare,0,others
"b""I'm worn out and exhausted by election season, and who isn't? Distracting myself by planning my election night https://t.co/PfXdlHk928""",0,covid19
b'RT @DovahGol: THIS NEVER GET OLDS HELL YEAH!! GO FULL MODE RED!!! I WILL VOTE FOR @realDonaldTrump MY PRESIDENT MY MAN!!!,0,others
"b'The Biden campaign will focus on Pennsylvania on Monday, the final day before the election\n\n#Election2020 \n#Elections2020 \n#BidenHarris2020'",1,
b'@Swerdlick #OnePage #PlatinumPlan @rolandsmartin @icecube @aliciagarza #great #conversation about #developing https://t.co/azJr7NePgx',1,
b'Truly they are sociopaths. We need to think about how we are going to prosecute people whose influence puts so https://t.co/NqUoTBgItp',0,discrimination
"b""I'm an intersex person and Biden shouted at me &amp; shook his finger in my face last June. But I live in WI, a https://t.co/VYvyly9Fi9""",0,covid19
b'RT @RWTrollPatrol: @JoeBiden Watch this great new film from @MeidasTouch and make #TrumpCrimeFamily trend #1 \n\nPlease watch and,1,
b'@realDonaldTrump It ends when it ends !!!!!#BidenHarris2020',1,
"b'@realDonaldTrump\n\nYou are going to lose badly. When you do, get the fuck https://t.co/8JxLqeTzzX'",0,crime
b'#Fridayvibes #COVID #math #physics #astronomy Cosmology must be a much more controversial field than I thought it https://t.co/Y3kmaEI876',0,others
"b'New York Post: #Twitter backs down, finally unlocks Post account after #Biden ban. https://t.co/qU2fzkWIjm'",0,others
b'@JoeBiden @Lilylive000Lily Now this is what a leader tweets- not stupid namecalling or whining about the https://t.co/Zv3ag1ZCpT',0,others
"b'@GOP @realDonaldTrump Trump is killing Michigan #TrumpVirus\nCoronavirus Cases: 193,388\nDeaths: https://t.co/4vc5RWvwRF'",0,others
b'@realDonaldTrump Biden is not even in office and yet we see Depression right now under who else???? Trump.... So https://t.co/yg1jA97Jis',0,covid19
b'Stay safe out there this weekend!\n\n#HappyHalloween #Jason #Fridaythe13th #IWillSurvive #COVID #pandemic #coronavirus https://t.co/JsjPTf0IO2',1,
"b'All the ads, all the money spent in campaigning amount to a hill of beans IF you DONT Vote....\n\nYour vote https://t.co/ZQwgWEvFs0'",1,
b'@realDonaldTrump As of today people are testing positive for #covid19 every second with a possible twelve going https://t.co/K7sPEYxi8E',1,
b'Halloween Kahoot for in class and remote students to enjoy! #school #covid #spirit #thisismytown #covid https://t.co/8ocY2eTvqL',1,
"b'Too bad Wolf u also report how heartless #MoscowMitch et al devout fake christians in @SenateGOP r, not https://t.co/75B0UAsdz8'",0,covid19
b'RT @ifindkarma: Trump has over $420 million in outstanding loans that are coming President* Trump owe foreign,1,
b'@PippaCrerar @Anna_Soubry Remember this is all based on a flawed testing method that produces false positive https://t.co/qQ49JYvROg',1,
b'Exactly what I was thinking and feeling. #IgnoreThePolls #BidenHarris2020 https://t.co/82xClZgcDK',1,
b'Voting for a man who can say something this obscene is as immoral as immorality gets. https://t.co/0SoJPd7349',0,corruption
b'@lr_4real Also too bad #wolfblitzer report how heartless #MoscowMitch et al devout fake christians https://t.co/2hhDnV7vSu',0,covid19
"b'@atrupar 22,000 lies &amp; counting; 228,000 dead from Covid; 9 million infected; stock market tanking; millions of https://t.co/0tRAslUKWq'",0,corruption
b'RT @rudybird100: @BarackObama @DrGJackBrown Trump is already trying to steal everything from us. #BidenHarris2020 https://t.co/8B9vLAiUlr',0,others
"b'RT @DiverseElders: ""In the absence of public health system investment, our health status has sunk to the bottom of peer nations. And the",1,
b'RT @newjonnyberlin: #CoronaVirus\n\nQUESTION: \n\nWhy does #covid affect #BAME more than others you are not,1,
"b'RT @jamieo33: @politico Who wants to bet #TrumpCrimeFamily already spent all those #GOP pre-paid, non-refundable booking fees?",1,
"b'RT @friseuringo: ""Cold and frost do not destroy it""\n\n#Coronavirus https://t.co/sPzNeIakh6'",0,covid19
b'@JWeber988 @LindseyGrahamSC What will be most delicious is that he and the #GOP will be destroyed. The rest of us will heal and prosper.',1,
"b'How does a person who took nominal government salary for decades amass $10,000,000 including multiple houses and https://t.co/ZUsGm2X5c0'",1,
b'Join #WokeSocieties and myself at 5pm PST 8PM EST bring your questions and popcorn! Patriotic chat and news https://t.co/JGrmWSAduv',1,
"b'RT @joangrande: Dear Universe, Trump is a moron.. liar, bullshit artist.. this is not a difference in party election, this is a",0,others
b'@realDonaldTrump Donald Trump BOTCHED the timing of the pandemic response AND the pandemic response. #TrumpCrimeFamily',1,
b'@PhillyPolice YOU HAVE BEEN TRAINED IN APPREHENSION TACTICS (NON-LETHAL) YET YOU STILL MURDER MENTALLY ILL BLACK https://t.co/bm2u90JlgS',0,others
"b'RT @patapata_patao8: If Biden wins, the United States will be under Chinese control.\n#Nobiden #hunterbiden #biden #Newyorkpost",1,
b'Simply staggering. @realDonaldTrump @DonaldJTrumpJr @EricTrump #ChinaJoe #MAGA #BuildTheWall https://t.co/aLQFh89vPM',1,
b'@joshgad I absentee ballot because I never know if going to have to work on voting day or not. When i https://t.co/SrrG8XK417',0,discrimination
b'@PatrickNova6 @realDonaldTrump And getting damn tiresome. #BidenHarris2020',0,covid19
b'RT @KrisB_Brown: I am volunteering as a poll observer in VA today. Steady voting. No more than half an hour wait. No intimidation to,0,covid19
"b'My household is split, 2 Republicans and 3 Democrats. #BidenHarris2020 not only secured all 5 votes, we all #votedbluedownballot'",1,
"b'PSA: One #negative #COVID19 test is not a free pass to #Hangout with all your #friends \n""Testing is #important https://t.co/MQbQZXNLV0'",1,
b'#StayFree Evolve America BE NOT AFRAID #TrumpsLastStand #BlackVoicesForTrump hear this ...Thanks for the https://t.co/EJoInuf1mk',1,
"b'RT @TimFaulkner81: @realDonaldTrump Voting ends November 3rd. Then we count ALL VOTES.\n\nYou sound really desperate, Donny.\n\n#BidenHarris2020'",0,others
"b'RT @DrRobDavidson: An angry individual came into my hospital in rural Michigan, refusing to wear a mask, threatening to cough all over us",0,covid19
"b'If #COVID-19 has left you without a job, and you are struggling to find work because you lack a high school https://t.co/Ly72O9Pod3'",0,covid19
"b""@DonaldJTrumpJr As long as your daddy doesn't try to hawk it...cause then it would be doomed before it got off https://t.co/anvIN7OSDg""",0,covid19
"b'#QUESTION Is where you find (new and/or excessive) rules, mandates, dictates, shutdowns and curfews where you https://t.co/vYL7ONHyau'",1,
"b""RT @angela4congress: Trying to reassure all my progressive friends that if @realDonaldTrump is re-elected, all of California's horrible",1,
"b""RT @johnlundin: It's #Friday evening\nThere are only 4 days until November 3rd.\nWe cannot waste a single one.\nDo whatever you can from",0,crime
b'RT @ResistWitch: @CNNPR @PatriciaRork @kirstiealley With that epic burn will stroll on to the polls and cast my vote for #BidenHarris2020,1,
b'RT @KnicoleBurchett: 96 miles of love for our country and our president @realDonaldTrump #RedWaveRising2020 #4MoreYears #MAGA,1,
"b""@LindseyGrahamSC You're proud of your #GOPHypocrisy!?!\n\n#LeningradLindsey #LindseyMustGo https://t.co/mtZW8LTMwr""",1,
"b'RT @folkbum: 1/10 Today, @DHSWI reported 4,870 new #COVID cases in #Wisconsin, 2nd highest report of the pandemic. We doubled our case",1,
"b'RT @RemiBald: We do not get a do-over. wake up on November 4th regretting that you did not vote. \nTogether, we can and we will.",0,crime
b'.@realDonaldTrump says that we thru our here in California. Boy is #DumbFuckDonnie really fucking https://t.co/FrkC3ulyvm',1,
b'RT @derailedgizmo: 4 days left until Election Day?! ready to run through the tape &amp; win this! Wanna help us flip Pennsylvania back,1,
b'RT @andrewcurryla: We voted. @theprincedylan \n\n#vote #BidenHarris2020 https://t.co/arxsxr7TIW',1,
b'RT @arabdigest: The war in #Yemen may not last long into a #Biden administration\n\nListen to the complete podcast here -,0,covid19
"b""@RollingStone Oh please, the #gop's evangelical base have been crying alligator tears while spouting those very https://t.co/TxdAAKtfdQ""",0,crime
"b'@GOP Wisconsin #TrumpVirus (numbers climbing)\nCoronavirus Cases: 220,092\nDeaths: 1,972\n#TrumpKnew https://t.co/DKDJQEWXr9'",1,
b'RT @DHLmao: FRAUD ELECTION! The Democrats is doing everything they can!\n#KAG #KAG2020 #KAG2020TRUMPVICTORY #KAG2020LandslideVictory',0,covid19
b'RT @jim1036: Even the Eagles are pulling for Joe. #VoteBlue #BidenHarris2020,1,
"b'RT @DennisClend23: @amyisfedtfup @GOP @IvankaTrump I wish 90,000 Americans been infected &amp; 900+ died yesterday, along with the",0,covid19
b'Waiting in line to vote #EarlyVoting #BidenHarris2020 #BidenHarrisToSaveAmerica',1,
"b'RT @JudicialWatch: Chris Farrell: ""The FBI knew about #HunterBiden\'s laptop a year ago. Where was FBI Director Wray?""\n\nRead more:",1,
b'Killing animals is killing us.\n\n#COVIDIOTS #COVID19\n#Covid19UK #COVID\n https://t.co/FZbP7MaOCr',0,discrimination
b'RT @Scothika: @AndrewForTrump @44Murch WE ARE THE MOVEMENT. #MAGA2020LandslideVictory #MAGA #Trump2020 #VoteRed #RedWave',1,
"b'RT @liarpoliticians: America has a choice, vote President Trump who stands up to China and tries to get countries to talk, or 40+ year",1,
"b""@GOPChairwoman THIS.....\nis RIDICULOUS.\n\nTrump has no COVID plan. That's why we have 4% of the world's population https://t.co/E7qACjVd3T""",1,
b'RT @IndianEmbJkt: H.E.Amb Pradeep Kumar Rawat interacted live with @idntimes Media group on a diverse range of topics from Indo-Indonesia,1,
"b'RT @bisuclef: Trump kicked against the re-election of @akin_adesina as @AfDB_Group.\n\nNow, he is vigorously working against the election",1,
"b'@GOP IT IS A HOAX !!!!!\nIT IS FAKE NEWS !!!!!\n\nFinally, some accurate use for this BS that trump has been selling https://t.co/1zWfPKAHOk'",0,discrimination
"b""#Democrat #Hypocrisy is NOT hard to find. It's all around! https://t.co/bfNIxrPkeW""",0,corruption
b'Have you gotten a chance to use @BigLocalNews and embeddable COVID-19 Global Case Mapper? Just like https://t.co/h28GDngGYZ',1,
b'RT @ToddKolod: Our closing argument...\n\n#EarlyVoting \n#BidenHarris2020ToSaveAmerica \n#TrumpIsCompromised https://t.co/Mp27bTQqQ7',1,
b'@Acosta @realDonaldTrump @senatemajldr @LindseyGrahamSC @mattgaetz fantastic numbers Mr President - completely https://t.co/V3nRyGLmp0',1,
b'Please donate! #covid #community https://t.co/1HZYgkgMU0',1,
b'RT @KarenPence: MAKE WISCONSIN RED AGAIN! @realDonaldTrump @Mike_Pence @TeamTrump #MAGA,1,
b'RT @UncleSamsBand: Word up........\n\n#FridayFeeling #FridayVibes #FridayThoughts #fridaymorning #FridayMotivation #BreakingNews,1,
b'RT @swede1956: @marcorubio @202010Maria Where does your party get off just making shit up and spouting it on social media ?\nRemember the,0,covid19
b'RT @KateMarshallNV: #BidenHarris2020 or bust! Had a blast leading our Nevada Day car parade of voters to the polls for the last day of,1,
b'Holy fucking disaster. While @realDonaldTrump is adding to the numbers through super spreader https://t.co/C3F4PIangc',1,
"b'RT @freddie1999: New York Post: #Twitter backs down, finally unlocks Post account after #Biden ban. #TomorrowsPapersToday",0,others
b'Disgusting. Using the Bible beside a gun for a photo op. Maybe you should OPEN THAT BIBLE AND READ IT BECAUSE IM https://t.co/YrQz2CSgb4',0,discrimination
b'@superyayadize @POTUS @HouseDemocrats @realDonaldTrump WE ARE THE MOVEMENT. #MAGA2020LandslideVictory #MAGA #Trump2020 #VoteRed #RedWave',1,
b'@DamianWolf19 @krueger_gh @DoolittleGlass @AMC0724 @GMonHon @Shaforden16 @JennyHope77 @charr68204 https://t.co/FQ3mlNIMmq',1,
b'@QuancyClayborne I hope tears of joy and relief!! #VoteBlue #VoteJoeBidenToSaveAmerica',1,
b'@LBC So #wheresBoris now? he be telling us this instead of leaking to the news ? Is he completing his https://t.co/1VRlYNbBqo',1,
"b'RT @livinginthenow: @nixw20 @Dknight10k You lucky man James. lol When you do good deeds as you have, people remember showing gratitude &amp;",1,
"b""@JoeBiden IF YOU DON'T DO ANYTHING ABOUT THE INNOCENT BLACK PEOPLE DYING -- THE LOOTING AND RIOTS CONTINUE.\n\nMAN, https://t.co/xqeBnF6lho""",0,covid19
b'@realDonaldTrump D*nald Tr*mp will knock down your entire country. Biden will free you as a prisoner from the https://t.co/cojvaMdW3e',0,covid19
"b'RT @Cleavon_MD: @realDonaldTrump at 29\nSamantha Diaz, mother of 3, medical assistant from West Palm Beach #Florida died from",0,others
b'Halloween spirit all over the school. #spirit #fun #thisismytown #covid #inclusive https://t.co/eu9gGcxg9h',1,
"b'RT @redaguessoumdvm: #OneHealth means realising the connection between animals, humans and the environment. \n\nActions need",1,
b'TRUMP AND HIS CRONIES NEED TO SHUT THE FUCK UP!!!!!! #BidenHarris2020 #ByeDon2020 #BidenHarris #VoteBlueToSaveAmerica',0,corruption
b'All was right with the World when my dog and I set out on a walk. It was a perfect fall afternoon. Upon returning https://t.co/r1SiBODyd1',1,
"b""RT @SallyDeal4: @realDonaldTrump #JoeBiden won't let Russia walk all over us.\n\n3 govt. agencies &amp; the private sector are warning that",0,covid19
"b""RT @GertrudesLarkin: 9.08 million infected\n229,000 dead\n\nDead so the Lt. Governor can make jokes about them. \n\n #Idaho sucks - don't send",0,corruption
"b""Every state/location with a #MailInBallot problem is a red state. #realDonaldTrump \nAnd states' #GOP is not https://t.co/6zX1th1rFe""",0,covid19
"b""RT @ReutersGMF: Bettors favour Biden over Trump; Biden leads in battleground states' bets https://t.co/pI52LUtuAp\n\nThanks @WillJenningsDC",1,
"b'RT @Mike46859398: DOJ official confirms FBI 2019 criminal investigation on money-laundering into #HunterBiden, still",0,others
"b'Saucon Valley HS Closed, Football Game Postponed Due to Covid Cases https://t.co/FLyHLAlvWu via https://t.co/yBJfFWcLwZ'",0,covid19
b'With razor-thin margins in votes in the Chaldean community would be bad news for #Trump. https://t.co/QH8djAp4Dn',0,covid19
"b""#Covid rampant across the country, rates greater than the #Gvt's worst case scenario. FFS #Boris, introduce https://t.co/FStx2lr32s""",0,covid19
"b""@realDonaldTrump insults Floridians \n\n@realDonaldTrump slow the #Covid-19 US spread now! \n\nDon't wait for https://t.co/Tn725Hq7h7""",0,corruption
"b""RT @KLMorgan_2: They aren't gonna help us\nToo busy helping themselves\nThey aren't gonna change this\nWe gotta do it ourselves\nThey think",0,covid19
b'RT @USMCLiberal: I just voted for #JoeBiden.\nIt felt really good to finally do that.\n\nYour turn.\n\n#VoteEarly #VoteInPersonVIP',1,
b'ICYMI @kovanderhart: Here are five reasons why Republicans should vote for @Jorgensen4POTUS instead of https://t.co/rc0jktN5pk',1,
b'RT @stonecold2050: January 2021. The #TrumpCrimeFamily are moving back to Mar-A-Lago https://t.co/4P7PbdLr8T',1,
b'Yes I will. I will NOT allow him to further destroy the country I love. #Resist #FightBack https://t.co/hfgBX5kgCg',0,discrimination
"b'America cannot allow this great country to falter into the hands of @JoeBiden and @KamalaHarris. This country, https://t.co/yPQKZUPZb5'",1,
"b""It's going to be a sad night in a lot of #liberal households next Tuesday, or maybe Wednesday.""",0,crime
b'RT @OIEAnimalHealth: #DYK\n\nThe #VeterinaryServices of Madrid tests 320 human samples of #COVID19 per day?\n\n#OneHealth efforts to,1,
b'#NY BALLOTS ARRIVING ALREADY FILLED OUT 4 #JoeBiden ARREST THESE SCUMBAGS NOW https://t.co/PyUgqi06I0',0,corruption
b'Election Day Forecast 2020-2021\nhttps://t.co/I7fsdWNuCX \n#relationships #tarot #astrology #horoscope https://t.co/MORYC9KSgH',1,
b'RT @etkphotos: Wise move !\nNow people just want to walk in and take them for nothing!\n#USA @realDonaldTrump #GOP',1,
"b""@JustJoshinNH It is really good. \nThe Rudi thing is nothing. Don't want to spoil, but #Pence.""",1,
b'RT @DarrenEuronews: WOW! Incredible pictures of people fleeing Paris tonight ahead of the second #coronavirus national lockdown,1,
b'RT @gailtalk: #Trump addressed the overflow in #Minnesota https://t.co/CMlYyJ1boO',1,
"b""Bought 2 pumpkins today and it was the most non-#covid thing I've done since March 12, 2020. They had all https://t.co/gPrIocHrM0""",1,
b'We need the touch of Jesus before we inter heaven\n#ExpressFridayVigil\n https://t.co/08I0unHG64',1,
"b""@CapnJoeBuster If you wrote me in, I'll be sure to keep the world standing! #election2020""",1,
b'#JoeBiden plans to cut #Veterans Benefits &amp; conflated his own war stories #Trump2020Landslide #VeteransForTrump https://t.co/ggx77L0pWO',0,covid19
b'First they try to prevent more than 250 Supporters &amp; now Dems cut off sound! Cheaters! #MAGA #KAG https://t.co/zBzB4PYadt',0,crime
"b""@JoeBiden and @KamalaHarris has my Granddaughter Andi's vote. #JoeBiden #kamalaharris #Biden2020 https://t.co/3zfw0TAxKy""",1,
"b'2017@realDonaldTrump enters office\n2018\n2019\n2020 220,000 americans dead at his hand\n\nI fixed america, now give https://t.co/7ReKUy6tzn'",0,discrimination
"b""Van broke down :-( and it needed carrying home but #covid restrictions meant that @TheAA_UK couldn't do 4 kids in https://t.co/haCwOyLXRX""",0,corruption
"b'RT @SkyNews: #Coronavirus: Exports of flu vaccine from the UK will be restricted to protect supplies, the government has announced",0,covid19
b'Trump is pissed #trump #DonaldTrump #trump2020 #election @realDonaldTrump',0,crime
b'Report: #Republican #Trump Called U.S. WWI Veterans And ... #Texas #Florida #Pennsylvania https://t.co/OQGH6JFUxG',1,
b'RT @NY_runaway: a new world in America when you find yourself trying to knock a criminal out of our WH.\n\n#DemVoice1 \n#BidenHarris2020',0,discrimination
b'#ElectionFraud is REAL by @thedemocrats @msnbc @cnnpolitics @maddow @maddowblog #maddow @politico https://t.co/xNDXEslwui',1,
b'@DonaldJTrumpJr @lhmist We can serve it to you and daddy when in prison #TrumpPandemic #BlueWave',0,covid19
b'Can some tell Dumb Donald that it does end on that date. And any votes cast by that date are valid &amp; legal? https://t.co/gM4cDrXQM1',0,discrimination
"b'RT @KirkChris: Apparently some in Govt now realise that they are on course to kill 100,000 and that a ""circuit breaker"" won\'t be enough.",0,crime
b'Cheers to voting and ending this dystrumpian nightmare! #VOTE #BidenHarris #VoteHimOut #VoteBlueDownBallot #BlueWave https://t.co/WOkYIXynrC',1,
"b'@DawnBritton13 @Landorcan @LeeFeller1 @nunyabiz55 @peterdaou @Ow75Tina 1/3 I absolutely oppose #DonaldTrump, but https://t.co/Fhm9nT9uMx'",1,
"b'@piersmorgan @BorisJohnson As selfish as this sounds. We only get ONE life and we should make the best out of it, https://t.co/s4sFngp9al'",1,
b'@realDonaldTrump You are so 20th Century man. \nWith mail in ballots that you played a hand in slowing down..&amp; https://t.co/qxPtAfZAly',1,
"b'RT @Briananievess: Once again the #BlueWave2020 took force in Miami, I love our community. We come together, and will come together Nov3",1,
"b""@realDonaldTrump #MAGA Elitest Trump paid ZERO taxes in the last ten years. He's ripping off America while he https://t.co/zbRZMZB8D5""",1,
b'@DonaldJTrumpJr Yeah cause the 1%ers want their massive tax breaks!!! Ya know what....daddy needs to start https://t.co/DoUwnffJRd',1,
"b'RT @BBridgesPhD: Happy to provide context for this article, but the resilience of HBCUs is on display as they navigate #COVID: #HBCUs",1,
b'RT @jacksonpbn: I have voted for the best candidate that would take the U.S to greater heights and away from the pumpkin head and his,1,
"b'RT @mspetter: #UnionProud of welcoming all to #BidenHarris2020 event, featuring !",1,
b'@usatessa @dragodragon45 @realDonaldTrump This is just Abuse of the Elderly at this point! The man clearly has no https://t.co/Ea4iV8CMeh',0,corruption
"b'RT @Fawful81: A German Legacy of Hatred, Culture Wars and Discord\n\nThe Mess Created By Trump Will Be with Us for",0,corruption
b'@realDonaldTrump Fact. Donald Trump has caused more Americans to lose their jobs because of his mishandling of https://t.co/BZFIetesTn',0,others
"b'RT @WOTB07: BREAKING: More videos from Spain, Rioters attack police in Barcelona as resident protest new #coronavirus lockdown measures,",0,covid19
b'Mine was never delivered #VoterSuppression #BLM #vote #change #hope #BidenHarris2020 #voteblue #Wisconsin https://t.co/quYYtvZe1W',1,
b'#COVID-19: @mainegov @GovJanetMills Extends State of Emergency October 2020 https://t.co/NqgyOLvuDn #Lockdown @COVID_Oversight',0,covid19
b'@realDonaldTrump campaign manager is a felon.\nHis deputy campaign mgr is a felon.\nHis national sec https://t.co/42Bv3WQ8gw',1,
"b'RT @RepDebDingell: Over 1,000 people died of #COVID yesterday. This administration is out of touch and in denial. \n \nhttps://t.co/3oQS8ScYrW'",0,others
"b'RT @MarkoSilberhand: @funder Ivanka, the daughter who would like to be more ? \n\nShe is useless like rhe rest of the #TrumpCrimeFamily",0,corruption
"b'The best sentence I\'ve read today: ""Your ballot was accepted on September 28, 2020, and will be counted."" #BidenHarris2020'",1,
"b'Join Arun and @patty_b_miranda on #ElectionDay as the results come in for the #Election2020. All the news, https://t.co/JtActXwMqL'",1,
b'You know. I know it and so everyone who pays attention. And we know the only way to make it stop us https://t.co/Ha38aohcAc',1,
"b""#Trump:\nBillionaires will need food stamps if #Biden is elected.\nAlso... the poor &amp; middle class https://t.co/coNiH9qOVC""",0,covid19
